"","species","n","commonName"
"347","Pelecanoides urinatrix",20,"Pelecanoides urinatrix"
"348","Pentaceros decacanthus",20,"bigspined boarfish"
"349","Rosenblattia robusta",20,"Rosenblattia robusta"
"350","Simenchelys parasitica",20,"snubnosed eel"
"351","Arnoglossus multirastris",19,"Arnoglossus multirastris"
"352","Bathophilus filifer",19,"Bathophilus filifer"
"353","Etmopterus pusillus",19,"smooth lanternshark"
"354","Galeorhinus galeus",19,"tope shark"
"355","Hoplostethus intermedius",19,"Hoplostethus intermedius"
"356","Lutjanus monostigma",19,"onespot snapper"
"357","Nannobrachium fernae",19,"Nannobrachium fernae"
"358","Neoscopelus macrolepidotus",19,"Neoscopelus macrolepidotus"
"359","Pelagodroma marina",19,"white-faced storm-petrel"
"360","Phosichthys argenteus",19,"silver lightfish"
"361","Remora osteochir",19,"marlinsucker"
"362","Xiphias gladius",19,"swordfish"
"363","Acanthurus nigricans",18,"whitecheek surgeonfish"
"364","Astronesthes cyaneus",18,"Astronesthes cyaneus"
"365","Cheilopogon dorsomacula",18,"blackspot flyingfish"
"366","Coelorinchus mycterismus",18,"Coelorinchus mycterismus"
"367","Diaphus problematicus",18,"Diaphus problematicus"
"368","Fistularia petimba",18,"red cornetfish"
"369","Maurolicus muelleri",18,"pearlsides"
"370","Notoscopelus resplendens",18,"patchwork lampfish"
"371","Procellaria parkinsoni",18,"Procellaria parkinsoni"
"372","Pterygotrigla polyommata",18,"latchet"
"373","Rexea antefurcata",18,"long-finned escolar"
"374","Satyrichthys engyceros",18,"Satyrichthys engyceros"
"375","Scorpaena cardinalis",18,"red rock cod"
"376","Xenodermichthys copei",18,"bluntnose smooth-head"
"377","Anoplogaster cornuta",17,"common fangtooth"
"378","Antimora rostrata",17,"blue antimora"
"379","Astronesthes trifibulatus",17,"Astronesthes trifibulatus"
"380","Diaphus perspicillatus",17,"transparent lantern fish"
"381","Diplospinus multistriatus",17,"striped escolar"
"382","Dolioletta gegenbauri",17,"Dolioletta gegenbauri"
"383","Hirundichthys rondeletii",17,"black wing flyingfish"
"384","Loweina rara",17,"Laura's lantern fish"
"385","Malacocephalus laevis",17,"softhead grenadier"
"386","Opostomias mitsuii",17,"Opostomias mitsuii"
"387","Pterodroma ultima",17,"Pterodroma ultima"
"388","Scopelarchus guentheri",17,"staring pearleye"
"389","Scopelosaurus hoedti",17,"Scopelosaurus hoedti"
"390","Aristostomias scintillans",16,"shiny loosejaw"
"391","Bathyraja spinosissima",16,"spiny skate"
"392","Bolinichthys pyrsobolus",16,"fiery lanternfish"
"393","Brama brama",16,"Atlantic pomfret"
"394","Brochiraja asperula",16,"smooth deepsea skate"
"395","Cololabis adocetus",16,"saury"
"396","Diaphus hudsoni",16,"Diaphus hudsoni"
"397","Diaphus mollis",16,"Diaphus mollis"
"398","Diaphus termophilus",16,"Taaning's lantern fish"
"399","Genyagnus monopterygius",16,"Genyagnus monopterygius"
"400","Glossanodon danieli",16,"Glossanodon danieli"
"401","Lagenorhynchus obliquidens",16,"Pacific white-sided dolphin"
"402","Macrourus carinatus",16,"ridge scaled rattail"
"403","Mesoplodon densirostris",16,"Blainville's beaked whale"
"404","Mesoplodon peruvianus",16,"Peruvian beaked whale"
"405","Parabothus coarctatus",16,"Parabothus coarctatus"
"406","Pseudocaranx dentex",16,"hard-tail jack"
"407","Remora brachyptera",16,"spearfish remora"
"408","Seriolella tinro",16,"Seriolella tinro"
"409","Stercorarius longicaudus",16,"long-tailed jaeger"
"410","Stylephorus chordatus",16,"tube-eye"
"411","Sudis atrox",16,"fierce pike smelt"
"412","Trachonurus villosus",16,"Trachonurus villosus"
"413","Vinciguerria lucetia",16,"Vinciguerria lucetia"
"414","Zearaja nasuta",16,"New Zealand rough skate"
"415","Benthosema fibulatum",15,"spinycheek lanternfish"
"416","Centrobranchus nigroocellatus",15,"roundnose lanternfish"
"417","Cephalopholis argus",15,"peacock hind"
"418","Cetonurus crassiceps",15,"Cetonurus crassiceps"
"419","Chelidonichthys kumu",15,"bluefin gurnard"
"420","Danaphos oculatus",15,"Danaphos oculatus"
"421","Diaphus danae",15,"Dana lanternfish"
"422","Etmopterus litvinovi",15,"Etmopterus litvinovi"
"423","Euclichthys polynemus",15,"Eucla cod"
"424","Eurypharynx pelecanoides",15,"pelican eel"
"425","Garrodia nereis",15,"Garrodia nereis"
"426","Herdmania momus",15,"red throated ascidian"
"427","Lobianchia gemellarii",15,"Lobianchia gemellarii"
"428","Lutjanus gibbus",15,"humpback red snapper"
"429","Myctophum phengodes",15,"Myctophum phengodes"
"430","Nannobrachium lineatum",15,"Nannobrachium lineatum"
"431","Onychoprion fuscatus",15,"sooty tern"
"432","Pachyptila belcheri",15,"Pachyptila belcheri"
"433","Phallusia nigra",15,"Phallusia nigra"
"434","Poromitra crassiceps",15,"crested bigscale"
"435","Rouleina eucla",15,"Rouleina eucla"
"436","Seriolella brama",15,"common warehou"
"437","Bembradium roseum",14,"Bembradium roseum"
"438","Chelmonops truncatus",14,"truncate coralfish"
"439","Cyema atrum",14,"bobtail snipe eel"
"440","Deania quadrispinosa",14,"Deania quadrispinosa"
"441","Epigonus elegans",14,"Epigonus elegans"
"442","Eustomias bifilis",14,"Eustomias bifilis"
"443","Globicephala melas",14,"long-finned pilot whale"
"444","Gonichthys venetus",14,"Gonichthys venetus"
"445","Idiolychnus urolampus",14,"Idiolychnus urolampus"
"446","Lactoria diaphana",14,"roundbelly cowfish"
"447","Lampadena urophaos",14,"sunbeam lanternfish"
"448","Lampanyctus festivus",14,"festive lanternfish"
"449","Merluccius gayi",14,"Southern Pacific hake"
"450","Parexocoetus brachypterus",14,"Parexocoetus brachypterus"
"451","Saurida tumbil",14,"greater lizardfish"
"452","Scopelopsis multipunctatus",14,"Scopelopsis multipunctatus"
"453","Squalus griffini",14,"Squalus griffini"
"454","Squalus mitsukurii",14,"Squalus mitsukurii"
"455","Thunnus obesus",14,"bigeye tuna"
"456","Apristurus ampliceps",13,"roughskin catfish"
"457","Arothron hispidus",13,"white-spotted puffer"
"458","Balaenoptera borealis",13,"sei whale"
"459","Bathygadus cottoides",13,"Bathygadus cottoides"
"460","Bathypterois longifilis",13,"Bathypterois longifilis"
"461","Chaetodon trifascialis",13,"chevron butterflyfish"
"462","Coccorella atlantica",13,"Atlantic sabertooth"
"463","Cyclothone microdon",13,"veiled anglemouth"
"464","Gonorynchus abbreviatus",13,"bighead beaked sandfish"
"465","Hippocampus abdominalis",13,"big-belly seahorse"
"466","Labroides dimidiatus",13,"bluestreak cleaner wrasse"
"467","Lampichthys procerus",13,"Lampichthys procerus"
"468","Lestidiops jayakari",13,"Lestidiops jayakari"
"469","Malthopsis tiarella",13,"spearnose seabat"
"470","Melanonus gracilis",13,"pelagic cod"
"471","Neosebastes pandus",13,"Neosebastes pandus"
"472","Nesiarchus nasutus",13,"black gemfish"
"473","Odontaspis noronhai",13,"bigeye sand tiger"
"474","Pentaceros richardsoni",13,"pelagic armorhead"
"475","Pollichthys mauli",13,"stareye lightfish"
"476","Rhincodon typus",13,"whale shark"
"477","Scarus frenatus",13,"bridled parrotfish"
"478","Spectrunculus grandis",13,"pudgy cuskeel"
"479","Sternoptyx pseudodiaphana",13,"Sternoptyx pseudodiaphana"
"480","Symbolophorus rufinus",13,"Symbolophorus rufinus"
"481","Thalassoma lunare",13,"Thalassoma lunare"
"482","Trachonurus gagates",13,"Trachonurus gagates"
"483","Zanclistius elevatus",13,"Zanclistius elevatus"
"484","Acanthocybium solandri",12,"wahoo"
"485","Agonostomus monticola",12,"mountain mullet"
"486","Alepisaurus ferox",12,"longnose lancetfish"
"487","Allocyttus niger",12,"black oreo"
"488","Arctozenus risso",12,"ribbon barracudina"
"489","Astronesthes splendidus",12,"Astronesthes splendidus"
"490","Brochiraja spinifera",12,"prickly deepsea skate"
"491","Careproctus hyaleius",12,"Careproctus hyaleius"
"492","Chaunax latipunctatus",12,"Chaunax latipunctatus"
"493","Chlorophthalmus ichthyandri",12,"Chlorophthalmus ichthyandri"
"494","Cyclothone acclinidens",12,"benttooth bristlemouth"
"495","Epigonus robustus",12,"Epigonus robustus"
"496","Etelis carbunculus",12,"ruby snapper"
"497","Etmopterus molleri",12,"Moller's lantern shark"
"498","Etmopterus unicolor",12,"brown lanternshark"
"499","Eustomias bulbornatus",12,"Eustomias bulbornatus"
"500","Eustomias enbarbatus",12,"Eustomias enbarbatus"
"501","Eustomias schmidti",12,"Eustomias schmidti"
"502","Hydrolagus lemures",12,"blackfin ghostshark"
"503","Icichthys lockingtoni",12,"medusafish"
"504","Lampanyctus alatus",12,"winged lanternfish"
"505","Lampanyctus australis",12,"southern lanternfish"
"506","Lampanyctus nobilis",12,"noble lanternfish"
"507","Lepidion inosimae",12,"giant cod"
"508","Mesobius antipodum",12,"bathypelagic rattail"
"509","Mola mola",12,"ocean sunfish"
